sample_id,sample_type,alumina_content,silica_content,calcia_content,sintering_temperature,holding_time,heating_rate,cooling_rate,alpha_alumina_phase,calcium_aluminate_phase,mullite_phase,glass_phase,grain_size,grain_uniformity,total_porosity,closed_porosity,open_porosity,pore_size,fracture_toughness,flexural_strength,youngs_modulus
CER-031,composition_series,85.72,8.71,5.56,1600,4,10,5,82.8,15,16.7,8.4,1.13,0.5,11.39,5.7,5.7,0.1,3.22,589.1,312.6
CER-032,composition_series,85.75,10.68,3.57,1600,4,10,5,81.7,11.2,19.7,8.4,1.63,0.393,11.39,5.69,5.69,0.1,3.05,530.9,315.8
CER-033,composition_series,85.77,9.7,4.53,1600,4,10,5,79.7,12,17.7,8.6,1.51,0.5,11.08,5.54,5.54,0.1,2.89,551.5,319
CER-034,composition_series,85.79,9.95,4.26,1600,4,10,5,81.6,12.5,18.2,9.4,1.48,0.5,11.85,5.93,5.93,0.1,2.49,522.1,311.6
CER-035,composition_series,85.82,10.47,3.71,1600,4,10,5,81.7,9.7,19.9,8.3,1.28,0.416,11.78,5.89,5.89,0.1,3,529.8,315.6
CER-036,composition_series,85.84,9.59,4.57,1600,4,10,5,82.8,12.5,19,9.3,1.31,0.5,10.49,5.24,5.24,0.1,2.72,583.5,319.2
CER-037,composition_series,85.87,8.48,5.65,1600,4,10,5,82.9,15,16.9,7.9,1.44,0.5,10.99,5.5,5.5,0.1,2.81,557.2,314.7
CER-038,composition_series,85.89,8.67,5.44,1600,4,10,5,82.9,14.8,16.3,8,1.33,0.436,11.6,5.8,5.8,0.1,2.65,572.2,314.2
CER-039,composition_series,85.91,9.98,4.11,1600,4,10,5,82.5,11.1,19.4,9.3,0.82,0.474,12.13,6.06,6.06,0.1,2.87,577.5,311
CER-040,composition_series,85.94,8.48,5.58,1600,4,10,5,82.5,14.9,15.6,8,1.3,0.44,11.14,5.57,5.57,0.1,2.91,583.4,321.6
CER-041,composition_series,85.96,7.04,7,1600,4,10,5,82.4,15,13.8,7.4,1.45,0.481,11.27,5.64,5.64,0.1,2.8,551,320.2
CER-042,composition_series,85.99,10.24,3.77,1600,4,10,5,81,10.7,19,9.6,1.36,0.474,10.84,5.42,5.42,0.1,2.94,584.1,321.7
CER-043,composition_series,86.01,8.22,5.77,1600,4,10,5,83.4,15,15.9,7.6,0.97,0.5,11.18,5.59,5.59,0.1,3,615.2,314.5
CER-044,composition_series,86.03,7.52,6.44,1600,4,10,5,83.5,15,15,8.7,1.41,0.469,11.56,5.78,5.78,0.1,2.81,552.8,304.7
CER-045,composition_series,86.06,10.59,3.35,1600,4,10,5,82.1,9.3,20,8.2,1.31,0.5,11.65,5.83,5.83,0.1,2.85,551,313.5
CER-046,composition_series,86.08,8.79,5.13,1600,4,10,5,81.9,13.9,16.9,8.3,1.4,0.486,10.64,5.32,5.32,0.1,3.12,607.7,321.8
CER-047,composition_series,86.11,10.47,3.42,1600,4,10,5,81.1,10.4,19.9,9,1.38,0.499,11.41,5.7,5.7,0.1,2.98,558.2,307.9
CER-048,composition_series,86.13,8.25,5.62,1600,4,10,5,81.1,14.9,16.3,7.8,1.52,0.487,11.31,5.66,5.66,0.1,2.78,549.6,308.3
CER-049,composition_series,86.15,11.06,2.78,1600,4,10,5,80.9,7.8,20,9.5,1.27,0.5,11.18,5.59,5.59,0.1,2.78,530.5,314.4
CER-050,composition_series,86.18,10.54,3.28,1600,4,10,5,80.8,8.8,20,9.3,1.69,0.5,11.78,5.89,5.89,0.1,2.68,528.5,308.3
CER-051,composition_series,86.2,7.53,6.26,1600,4,10,5,83,15,15.2,6.7,1.23,0.5,12.14,6.07,6.07,0.1,2.97,550.3,310.7
CER-052,composition_series,86.23,8.64,5.13,1600,4,10,5,80.6,13.7,16.1,8.7,1.35,0.5,10.99,5.5,5.5,0.1,2.97,536.9,309.3
CER-053,composition_series,86.25,7.69,6.06,1600,4,10,5,82.9,15,15.2,7.7,1.25,0.379,11.5,5.75,5.75,0.1,2.84,575.8,312.7
CER-054,composition_series,86.27,8.72,5,1600,4,10,5,82.9,13.9,16.6,8.4,1.15,0.5,10.37,5.18,5.18,0.1,2.72,603.4,314.8
CER-055,composition_series,86.3,9.73,3.97,1600,4,10,5,81.5,11.2,19.8,8.9,1.69,0.5,10.91,5.46,5.46,0.1,3.18,542.2,321.5
CER-056,composition_series,86.32,8.23,5.44,1600,4,10,5,83.4,15,16.8,7,0.76,0.483,11.44,5.72,5.72,0.1,2.68,610.7,319.9
CER-057,composition_series,86.35,8.25,5.4,1600,4,10,5,82.5,14.4,16.2,8.3,1.34,0.5,10.87,5.43,5.43,0.1,2.63,578.5,327.5
CER-058,composition_series,86.37,7.25,6.38,1600,4,10,5,82,15,14.5,7.8,1.43,0.5,11.9,5.95,5.95,0.1,3.02,515.3,313.5
CER-059,composition_series,86.39,10.66,2.95,1600,4,10,5,82.7,8.1,20,8.6,1.32,0.5,10.99,5.49,5.49,0.1,2.61,527,324.1
CER-060,composition_series,86.42,10.34,3.24,1600,4,10,5,81.1,8.9,19.5,9,1.76,0.5,12.41,6.2,6.2,0.1,2.44,511.6,301.4
CER-061,composition_series,86.44,8.55,5.01,1600,4,10,5,81.8,13.7,17.3,8.1,1.43,0.5,11.94,5.97,5.97,0.1,2.83,517.1,310.8
CER-062,composition_series,86.47,9.42,4.12,1600,4,10,5,84,11,18.4,7.8,1.53,0.5,12.26,6.13,6.13,0.1,2.87,521.5,307.1
CER-063,composition_series,86.49,9.86,3.65,1600,4,10,5,80.5,10.3,18,8.4,1.2,0.5,11.19,5.59,5.59,0.1,2.62,545.8,314.1
CER-064,composition_series,86.52,9.96,3.53,1600,4,10,5,81.6,9.1,19.1,9.3,1.22,0.458,11.97,5.98,5.98,0.1,2.64,503.8,302.7
CER-065,composition_series,86.54,7.61,5.85,1600,4,10,5,82.6,15,14.7,7.8,1.3,0.483,12.32,6.16,6.16,0.1,3.07,514.9,322.2
CER-066,composition_series,86.56,10.39,3.05,1600,4,10,5,82.8,9.3,19.6,9.5,1.13,0.5,10.69,5.35,5.35,0.1,2.45,595.3,319.4
CER-067,composition_series,86.59,8.31,5.1,1600,4,10,5,81.9,13.6,15.4,8.1,1.34,0.457,11.58,5.79,5.79,0.1,2.55,568.2,316.7
CER-068,composition_series,86.61,10.38,3,1600,4,10,5,81.6,7.9,19.3,9.6,1.15,0.5,11.25,5.62,5.62,0.1,2.88,526.4,307.4
CER-069,composition_series,86.64,9.44,3.92,1600,4,10,5,81.7,10.3,17.6,8.3,1.25,0.498,11.09,5.54,5.54,0.1,2.8,543.2,325.2
CER-070,composition_series,86.66,9.14,4.2,1600,4,10,5,81.2,11.5,17.4,6.8,1.16,0.5,11.86,5.93,5.93,0.1,2.79,545.5,314
CER-071,composition_series,86.68,10.15,3.17,1600,4,10,5,82.8,9,19.6,9.2,1.2,0.5,11.04,5.52,5.52,0.1,2.8,557,314
CER-072,composition_series,86.71,7.78,5.51,1600,4,10,5,82.5,14,15.7,7.4,1.63,0.485,10.65,5.33,5.33,0.1,2.85,573,326.6
CER-073,composition_series,86.73,8.45,4.82,1600,4,10,5,82.6,13,16.7,8.4,1.55,0.5,10.67,5.34,5.34,0.1,3.11,558.2,319.7
CER-074,composition_series,86.76,6.85,6.39,1600,4,10,5,81.5,15,12.6,6.8,1.55,0.5,11.72,5.86,5.86,0.1,2.89,519.2,319.5
CER-075,composition_series,86.78,8.9,4.32,1600,4,10,5,82.4,12.1,17.3,7.5,1.34,0.5,11.92,5.96,5.96,0.1,2.56,547.2,308.9
CER-076,composition_series,86.8,9.92,3.28,1600,4,10,5,81.5,9.9,19.1,8.7,1.3,0.476,10.77,5.39,5.39,0.1,3.05,578.8,316.1
CER-077,composition_series,86.83,10.38,2.79,1600,4,10,5,83.2,7.3,20,9,1.09,0.5,12.01,6.01,6.01,0.1,2.69,559.7,310.3
CER-078,composition_series,86.85,9.62,3.53,1600,4,10,5,81.6,10.5,18.5,8.3,1.37,0.5,11.11,5.56,5.56,0.1,2.82,553.3,315
CER-079,composition_series,86.88,7.85,5.27,1600,4,10,5,82.4,14.4,16.7,8.2,1.25,0.5,12.01,6.01,6.01,0.1,2.63,538.4,310.4
CER-080,composition_series,86.9,9.83,3.27,1600,4,10,5,81,9.2,19.3,8.5,1.32,0.5,11.19,5.6,5.6,0.1,2.94,561,313.9
CER-081,composition_series,86.92,7.68,5.39,1600,4,10,5,82.8,13.9,14.4,8.4,1.5,0.5,12.3,6.15,6.15,0.1,2.72,513.7,302.6
CER-082,composition_series,86.95,7.72,5.33,1600,4,10,5,82.9,14.4,15.2,7.7,1.45,0.5,11.56,5.78,5.78,0.1,3.16,547.4,323.2
CER-083,composition_series,86.97,10.02,3.01,1600,4,10,5,81,9.2,19.6,8.1,1.16,0.5,11.81,5.91,5.91,0.1,2.46,530.4,315.7
CER-084,composition_series,87,9.66,3.35,1600,4,10,5,81.2,9.3,18.2,8.2,1.34,0.5,11.43,5.71,5.71,0.1,2.76,544.8,309.7
CER-085,composition_series,87.02,9.23,3.75,1600,4,10,5,83.4,11.3,18.3,8.6,1.18,0.5,12.25,6.13,6.13,0.1,2.92,524.1,305.9
CER-086,composition_series,87.04,9.11,3.85,1600,4,10,5,83.5,10.8,17.8,9.4,1.28,0.496,11.62,5.81,5.81,0.1,3.05,548.8,316.9
CER-087,composition_series,87.07,9.05,3.88,1600,4,10,5,81.7,10.7,16.6,8.1,1.2,0.468,11.69,5.85,5.85,0.1,2.69,551.3,312.9
CER-088,composition_series,87.09,6.84,6.07,1600,4,10,5,83.8,15,13,6.3,1.38,0.5,11.06,5.53,5.53,0.1,2.96,562.7,331
CER-089,composition_series,87.12,8.51,4.37,1600,4,10,5,82.9,12.7,16.4,7.7,1.53,0.5,11.58,5.79,5.79,0.1,2.57,543.3,321.5
CER-090,composition_series,87.14,8.74,4.12,1600,4,10,5,81.2,11.2,16.3,7.7,1.23,0.5,11.34,5.67,5.67,0.1,2.86,543.2,304.9
CER-091,composition_series,87.16,9.35,3.49,1600,4,10,5,84.1,9.9,18.1,7.9,1.52,0.486,11,5.5,5.5,0.1,2.84,575.3,321.2
CER-092,composition_series,87.19,9.17,3.65,1600,4,10,5,82.1,9.7,17.5,7.3,0.96,0.5,11.77,5.88,5.88,0.1,2.7,569.1,320.2
CER-093,composition_series,87.21,9.19,3.59,1600,4,10,5,83.8,10,17,7.3,1.41,0.442,11.29,5.64,5.64,0.1,3,561.7,326.2
CER-094,composition_series,87.24,8.03,4.73,1600,4,10,5,85.1,13.1,15.2,7.5,0.94,0.5,11.68,5.84,5.84,0.1,2.58,591.5,317.6
CER-095,composition_series,87.26,8.77,3.97,1600,4,10,5,84,11.4,16.7,8.2,1.03,0.5,11.03,5.51,5.51,0.1,2.64,590.9,322.7
CER-096,composition_series,87.28,6.9,5.81,1600,4,10,5,83.7,15,13.3,7,1.5,0.496,10.97,5.49,5.49,0.1,3.19,558.1,326.9
CER-097,composition_series,87.31,7.12,5.57,1600,4,10,5,82.3,15,14,5.9,1.44,0.5,11.32,5.66,5.66,0.1,2.78,560,319.2
CER-098,composition_series,87.33,6.44,6.23,1600,4,10,5,83,15,13.9,6.5,1.2,0.456,11.02,5.51,5.51,0.1,2.55,589.4,328.5
CER-099,composition_series,87.36,9.96,2.68,1600,4,10,5,82.8,7.2,19.7,8.6,1.46,0.5,11.6,5.8,5.8,0.1,2.47,536.1,310.1
CER-100,composition_series,87.38,9.63,2.99,1600,4,10,5,84,8.7,17.8,8.2,0.83,0.5,11.32,5.66,5.66,0.1,2.78,555.5,318.2
CER-101,composition_series,87.4,7.85,4.74,1600,4,10,5,82.4,11.9,15.5,7.6,1.3,0.5,10.93,5.47,5.47,0.1,3,557.7,321.3
CER-102,composition_series,87.43,6.57,6,1600,4,10,5,84.1,15,13.2,6.9,1.27,0.5,11.15,5.57,5.57,0.1,2.87,588.2,320.5
CER-103,composition_series,87.45,8.36,4.19,1600,4,10,5,83.2,12,15.9,8.7,1.37,0.5,11.46,5.73,5.73,0.1,3.07,533.2,310.7
CER-104,composition_series,87.48,8.6,3.92,1600,4,10,5,82.1,11.1,16.5,6.9,1.64,0.442,10.18,5.09,5.09,0.1,2.44,574.9,323.1
CER-105,composition_series,87.5,6.67,5.83,1600,4,10,5,82,15,12.5,7,1.45,0.5,11.74,5.87,5.87,0.1,2.61,523.4,317
CER-106,composition_series,87.53,7.02,5.46,1600,4,10,5,82.1,14.6,13.7,6.9,1.08,0.481,11.61,5.81,5.81,0.1,2.65,585.6,328.2
CER-107,composition_series,87.55,7.23,5.22,1600,4,10,5,83,13.8,15.4,8.1,1.1,0.443,11.3,5.65,5.65,0.1,2.76,562.8,322.2
CER-108,composition_series,87.57,8.3,4.13,1600,4,10,5,83.3,12,15.8,7.3,1.25,0.479,10.99,5.49,5.49,0.1,3.02,549.5,314.6
CER-109,composition_series,87.6,8.75,3.65,1600,4,10,5,84.3,11.1,17.1,7.5,1.24,0.435,11.66,5.83,5.83,0.1,2.83,570.1,318.9
CER-110,composition_series,87.62,9.09,3.29,1600,4,10,5,83,9.4,17.5,8,1.45,0.5,11.85,5.92,5.92,0.1,2.59,546.4,306.3
CER-111,composition_series,87.65,6.47,5.89,1600,4,10,5,83.9,15,13.6,6.9,1.52,0.486,11.32,5.66,5.66,0.1,3.16,561.2,317.4
CER-112,composition_series,87.67,7.32,5.01,1600,4,10,5,84.1,14.6,14.5,6.9,1.1,0.5,10.96,5.48,5.48,0.1,3.03,588.1,321.3
CER-113,composition_series,87.69,8.99,3.32,1600,4,10,5,83,8.5,17.1,7.7,1.39,0.499,10.99,5.5,5.5,0.1,2.6,563.2,318.8
CER-114,composition_series,87.72,6.68,5.6,1600,4,10,5,83.7,14.9,13.5,6.5,1.57,0.5,11.44,5.72,5.72,0.1,2.92,531.5,318.4
CER-115,composition_series,87.74,9.24,3.01,1600,4,10,5,84.2,8.3,18.2,8.2,1.35,0.5,12.01,6.01,6.01,0.1,2.77,512.9,302.4
CER-116,composition_series,87.77,7.36,4.87,1600,4,10,5,83.8,14.5,15.3,6.4,1.13,0.493,10.33,5.17,5.17,0.1,2.81,614.2,330.6
CER-117,composition_series,87.79,8.05,4.16,1600,4,10,5,82.8,11.1,15.6,7.4,1.59,0.5,11.96,5.98,5.98,0.1,2.56,519.3,311.1
CER-118,composition_series,87.81,7.34,4.85,1600,4,10,5,83.8,13.7,14.6,7.3,1.26,0.452,11.55,5.78,5.78,0.1,2.95,565.2,319.2
CER-119,composition_series,87.84,9.02,3.15,1600,4,10,5,84.6,9.2,17.8,6.7,1.18,0.5,11.02,5.51,5.51,0.1,2.83,589,319.1
CER-120,composition_series,87.86,9.52,2.62,1600,4,10,5,82.4,8.1,18,7.5,1.52,0.407,11.03,5.51,5.51,0.1,2.64,547.6,313
CER-121,composition_series,87.89,8.45,3.67,1600,4,10,5,83.1,10.6,16.1,7.6,1.33,0.5,11.48,5.74,5.74,0.1,2.45,557.4,311.1
CER-122,composition_series,87.91,7.42,4.67,1600,4,10,5,83.2,12.9,14.5,7.1,1.11,0.5,11.4,5.7,5.7,0.1,2.94,574,318.4
CER-123,composition_series,87.93,8.3,3.76,1600,4,10,5,83.2,10.8,17.4,7.5,1.15,0.382,11.83,5.92,5.92,0.1,2.69,583.5,318.4
CER-124,composition_series,87.96,7.92,4.12,1600,4,10,5,83.1,11.2,14.8,7.5,0.96,0.451,11.24,5.62,5.62,0.1,2.81,580.1,315.2
CER-125,composition_series,87.98,6.92,5.1,1600,4,10,5,81.8,13.4,13.8,6.9,1.12,0.5,10.8,5.4,5.4,0.1,3.13,581.5,321.1
CER-126,composition_series,88.01,6,6,1600,4,10,5,83.5,15,12.7,6.7,1.35,0.498,11.28,5.64,5.64,0.1,2.75,579,313.6
CER-127,composition_series,88.03,6.13,5.84,1600,4,10,5,85.3,15,12.3,6.8,1.03,0.5,11.59,5.79,5.79,0.1,2.52,588.3,320.1
CER-128,composition_series,88.05,9.16,2.79,1600,4,10,5,86,8.3,17.2,6.4,1.12,0.488,12.75,6.38,6.38,0.1,2.93,525.6,304.9
CER-129,composition_series,88.08,9.26,2.66,1600,4,10,5,83.7,7.6,18.3,7.6,1.09,0.5,10.74,5.37,5.37,0.1,2.74,587.1,316.4
CER-130,composition_series,88.1,8.57,3.33,1600,4,10,5,84.4,9.3,16.7,7.5,1.2,0.484,11.15,5.57,5.57,0.1,2.47,580.2,319.2
CER-131,composition_series,88.13,8.64,3.24,1600,4,10,5,84.6,8.5,16.9,6.7,1.32,0.496,12.26,6.13,6.13,0.1,2.54,536.3,316.2
CER-132,composition_series,88.15,7.16,4.69,1600,4,10,5,84.6,12.7,14.7,7.3,1.21,0.5,11.78,5.89,5.89,0.1,3.12,562.1,311.5
CER-133,composition_series,88.17,7.93,3.89,1600,4,10,5,82.9,11.1,15.5,7.8,1.31,0.5,12.02,6.01,6.01,0.1,2.48,560.9,310.5
CER-134,composition_series,88.2,6.76,5.04,1600,4,10,5,82.7,13.9,14,6.5,1.22,0.5,10.4,5.2,5.2,0.1,2.68,588.3,328.8
CER-135,composition_series,88.22,7.82,3.96,1600,4,10,5,85.3,10.6,15,7.5,1.09,0.486,11.86,5.93,5.93,0.1,2.81,551.1,318.4
CER-136,composition_series,88.25,7.15,4.6,1600,4,10,5,83.8,12.5,14.4,7.2,1.42,0.445,11.11,5.56,5.56,0.1,2.74,576.2,316.8
CER-137,composition_series,88.27,8.14,3.59,1600,4,10,5,85.3,10.7,16.2,6.8,1.26,0.475,12.03,6.01,6.01,0.1,2.52,554.7,320.4
CER-138,composition_series,88.29,9.28,2.43,1600,4,10,5,84.7,7.2,17.1,7.8,1.14,0.5,11.5,5.75,5.75,0.1,3.11,560.8,326.4
CER-139,composition_series,88.32,6.55,5.13,1600,4,10,5,84.3,13.4,13.3,6.4,1.17,0.5,11.93,5.96,5.96,0.1,2.78,553.6,311.5
CER-140,composition_series,88.34,6.66,4.99,1600,4,10,5,83.3,13.9,12.9,5.8,1,0.5,11.35,5.67,5.67,0.1,2.79,581.4,325.2
CER-141,composition_series,88.37,7.15,4.48,1600,4,10,5,85,13,14.1,6.4,1.51,0.5,11.26,5.63,5.63,0.1,2.75,575.7,323.2
CER-142,composition_series,88.39,6.21,5.4,1600,4,10,5,85.2,14.7,12.3,5.6,1.25,0.435,11.24,5.62,5.62,0.1,2.81,568.4,322.1
CER-143,composition_series,88.41,6.85,4.73,1600,4,10,5,83.8,12.6,13,7.1,1.35,0.5,11.82,5.91,5.91,0.1,2.87,558.8,323
CER-144,composition_series,88.44,6.14,5.42,1600,4,10,5,84.2,14.1,11.9,6.7,1.13,0.467,11.79,5.9,5.9,0.1,2.74,577,309.1
CER-145,composition_series,88.46,7.91,3.63,1600,4,10,5,84.4,10,14.3,7.1,1.42,0.5,11.32,5.66,5.66,0.1,2.67,572.6,324.4
CER-146,composition_series,88.49,9,2.51,1600,4,10,5,83.7,6.8,17.2,8.2,1.42,0.434,11.83,5.91,5.91,0.1,2.84,519.5,309.8
CER-147,composition_series,88.51,8.45,3.04,1600,4,10,5,83.5,8.4,16.2,8.3,1.32,0.5,11.34,5.67,5.67,0.1,2.94,555.5,307.7
CER-148,composition_series,88.54,6.24,5.22,1600,4,10,5,83.7,14,12.3,6.6,1.72,0.5,12.19,6.09,6.09,0.1,2.63,526.4,318.6
CER-149,composition_series,88.56,7.62,3.82,1600,4,10,5,85.6,11.1,14.7,7.2,1.38,0.5,11.28,5.64,5.64,0.1,2.55,561.6,315.6
CER-150,composition_series,88.58,5.94,5.48,1600,4,10,5,84.6,15,11.2,5.9,0.96,0.5,10.36,5.18,5.18,0.1,2.83,604.4,329.8
CER-151,composition_series,88.61,6.23,5.16,1600,4,10,5,83.8,14.3,11.9,6.7,1.28,0.491,10.88,5.44,5.44,0.1,2.6,554.6,331.1
CER-152,composition_series,88.63,8.99,2.38,1600,4,10,5,84.7,6.5,16.8,6.9,1.33,0.412,11.48,5.74,5.74,0.1,2.78,564.7,311.4
CER-153,composition_series,88.66,6.41,4.93,1600,4,10,5,83,12.1,13,5.4,0.89,0.44,12.33,6.17,6.17,0.1,2.22,581.9,318.2
CER-154,composition_series,88.68,8.38,2.94,1600,4,10,5,84.2,8.1,16.2,6.9,1.26,0.5,11.22,5.61,5.61,0.1,3.08,548.4,320.5
CER-155,composition_series,88.7,7.89,3.41,1600,4,10,5,83.8,9.7,15.6,6.5,1.2,0.5,11.3,5.65,5.65,0.1,2.91,568.7,318.5
CER-156,composition_series,88.73,8.29,2.99,1600,4,10,5,85,8.3,15.7,7.7,1.66,0.5,11.84,5.92,5.92,0.1,2.93,527.8,316.2
CER-157,composition_series,88.75,6.8,4.45,1600,4,10,5,83.7,12.5,13.4,6.8,1.24,0.479,10.72,5.36,5.36,0.1,2.99,586.2,335.3
CER-158,composition_series,88.78,8.56,2.66,1600,4,10,5,84,8.3,17.4,7.3,1.19,0.5,11.39,5.7,5.7,0.1,2.72,561.4,323.5
CER-159,composition_series,88.8,6.74,4.47,1600,4,10,5,84.7,12.7,12.9,7.5,1.02,0.5,11.26,5.63,5.63,0.1,2.8,596.4,319.3
CER-160,composition_series,88.82,8.74,2.44,1600,4,10,5,84,6.9,17.4,7.1,1.29,0.478,11.76,5.88,5.88,0.1,2.98,549.1,313.3
CER-161,composition_series,88.85,6.48,4.67,1600,4,10,5,84.8,12.3,12.8,6.3,1.4,0.5,10.6,5.3,5.3,0.1,2.83,599.6,330.3
CER-162,composition_series,88.87,6.05,5.07,1600,4,10,5,88,13.5,11.8,6.2,1.36,0.464,11.34,5.67,5.67,0.1,3.05,564.6,318.2
CER-163,composition_series,88.9,7.87,3.23,1600,4,10,5,84.3,9.4,15.6,6.9,1.53,0.5,11.01,5.51,5.51,0.1,2.65,534.5,326.8
CER-164,composition_series,88.92,6.75,4.33,1600,4,10,5,83.6,11.4,13,5.7,1.45,0.5,10.86,5.43,5.43,0.1,3.08,599.5,321.1
CER-165,composition_series,88.94,8.84,2.21,1600,4,10,5,84.1,6,16.2,7.4,1.55,0.49,11.35,5.68,5.68,0.1,2.5,521.7,315.2
CER-166,composition_series,88.97,6.96,4.07,1600,4,10,5,85,11.3,13.6,6.4,1.26,0.5,10.54,5.27,5.27,0.1,2.81,585.7,325.5
CER-167,composition_series,88.99,8.34,2.67,1600,4,10,5,86.9,7.3,15.7,8.1,1.15,0.46,11.36,5.68,5.68,0.1,2.95,580.9,312.9
CER-168,composition_series,89.02,5.58,5.4,1600,4,10,5,84.8,15,11.1,5.2,1.05,0.5,10.95,5.47,5.47,0.1,2.97,583.5,328.7
